;Unnamed: 0;Ticker;Empresa;Setor;Subsetor;Tipo;Classificação;Name
174;174;GOAU4.SA;GERDAU MET;Materiais Básicos;Siderurgia e Metalurgia;Preferencial;Mid Cap;Metalurgica Gerdau S.A.
175;175;GOLL4.SA;GOL;Bens Industriais;Transporte;Preferencial;Mid Cap;Gol Linhas Aéreas Inteligentes S.A.
176;176;GPAR3.SA;CELGPAR;Utilidade Pública;Energia Elétrica;Ordinaria;Small Cap;Companhia CELG de Participações S/A
177;177;GPCP3.SA;GPC PART;Materiais Básicos;Químicos;Ordinaria;Micro Cap;N/A
178;178;GPIV33.SA;GP INVEST;Financeiro;Serviços Financeiros Diversos;Ordinaria;-;GP Investments, Ltd.
179;179;GRND3.SA;GRENDENE;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Mid Cap;Grendene S.A.
180;180;GSHP3.SA;GENERALSHOPP;Financeiro;Exploração de Imóveis;Ordinaria;Nano Cap;General Shopping e Outlets do Brasil S.A.
181;181;GUAR3.SA;GUARARAPES;Consumo Cíclico;Comércio;Ordinaria;Mid Cap;Guararapes Confecções S.A.
182;182;HAGA3.SA;HAGA S/A;Bens Industriais;Construção e Engenharia;Ordinaria;Nano Cap;HAGA S/A Indústria e Comércio
183;183;HAGA4.SA;HAGA S/A;Bens Industriais;Construção e Engenharia;Preferencial;Nano Cap;HAGA S/A Indústria e Comércio
184;184;HAPV3.SA;HAPVIDA;Saúde;Análises e Diagnósticos;Ordinaria;Big Cap;Hapvida Participações e Investimentos S.A.
185;185;HBOR3.SA;HELBOR;Consumo Cíclico;Construção Civil;Ordinaria;Small Cap;Helbor Empreendimentos S.A.
186;186;HETA4.SA;HERCULES;Consumo Cíclico;Utilidades Domésticas;Preferencial;Nano Cap;Hercules S.A - Fábrica de Talheres
187;187;HGTX3.SA;CIA HERING;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Small Cap;N/A
188;188;HOOT3.SA;HOTEIS OTHON;Consumo Cíclico;Hoteis e Restaurantes;Ordinaria;Nano Cap;Hoteis Othon SA
189;189;HOOT4.SA;HOTEIS OTHON;Consumo Cíclico;Hoteis e Restaurantes;Preferencial;Nano Cap;Hotéis Othon S.A.
190;190;HYPE3.SA;HYPERA;Saúde;Comércio e Distribuição;Ordinaria;Mid Cap;Hypera S.A.
191;191;IGBR3.SA;IGB S/A;Financeiro;Exploração de Imóveis;Ordinaria;Nano Cap;IGB Eletronica S.A.
192;192;IGTA3.SA;IGUATEMI;Financeiro;Exploração de Imóveis;Ordinaria;Mid Cap;N/A
193;193;INEP4.SA;INEPAR;Bens Industriais;Máquinas e Equipamentos;Preferencial;Micro Cap;Inepar S.A. Indústria e Construções
194;194;IRBR3.SA;IRBBRASIL RE;Financeiro;Previdência e Seguros;Ordinaria;Mid Cap;IRB-Brasil Resseguros S.A.
195;195;ITSA3.SA;ITAUSA;Financeiro;Intermediários Financeiros;Ordinaria;Big Cap;Itaúsa S.A.
196;196;ITSA4.SA;ITAUSA;Financeiro;Intermediários Financeiros;Preferencial;Big Cap;Itaúsa S.A.
197;197;ITUB3.SA;ITAUUNIBANCO;Financeiro;Intermediários Financeiros;Ordinaria;Mega Cap;Itaú Unibanco Holding S.A.
198;198;ITUB4.SA;ITAUUNIBANCO;Financeiro;Intermediários Financeiros;Preferencial;Mega Cap;Itaú Unibanco Holding S.A.
199;199;JBDU3.SA;J B DUARTE;Outros;Outros;Ordinaria;Nano Cap;N/A
200;200;JBDU4.SA;J B DUARTE;Outros;Outros;Preferencial;Nano Cap;N/A
201;201;JBSS3.SA;JBS;Consumo não Cíclico;Alimentos Processados;Ordinaria;Big Cap;JBS S.A.
202;202;JFEN3.SA;JOAO FORTES;Consumo Cíclico;Construção Civil;Ordinaria;Micro Cap;João Fortes Engenharia S.A.
203;203;JHSF3.SA;JHSF PART;Consumo Cíclico;Construção Civil;Ordinaria;Small Cap;JHSF Participações S.A.
204;204;JOPA3.SA;JOSAPAR;Consumo não Cíclico;Alimentos Processados;Ordinaria;Micro Cap;JOSAPAR Joaquim Oliveira S.A. Participações
205;205;JOPA4.SA;JOSAPAR;Consumo não Cíclico;Alimentos Processados;Preferencial;Micro Cap;JOSAPAR Joaquim Oliveira S.A. Participações
